"","Season","Week","Name","Position","Team","Home.Away","Opponent","FanDuel.pts","FanDuel.sal"
"126",2015,12,"Bishop Sankey","RB","TEN","HOME","OAK",0,4600
"127",2015,12,"John Kuhn","RB","GNB","HOME","CHI",0,4500
"128",2015,12,"Bruce Miller","RB","SFO","HOME","ARI",0,4500
"129",2015,12,"Darrel Young","RB","WAS","HOME","NYG",0,4500
"130",2015,12,"Jordan Todman","RB","PIT","AWAY","SEA",0,4700
"131",2015,12,"Marcus Murphy","RB","NOR","AWAY","HOU",0,4500
"132",2015,12,"Tommy Bohanon","RB","NYJ","HOME","MIA",0,4500
"133",2015,12,"Kendall Gaskins","RB","SFO","HOME","ARI",0,5000
"134",2015,12,"Bobby Rainey","RB","TAM","AWAY","IND",0,4600
"135",2015,12,"Toby Gerhart","RB","JAC","HOME","SDG",0,4600
"136",2015,12,"Patrick DiMarco","RB","ATL","HOME","MIN",0,4500
"137",2015,12,"Cedric Peerman","RB","CIN","HOME","STL",0,4500
"138",2015,12,"Fozzy Whittaker","RB","CAR","AWAY","DAL",0,4500
"139",2015,12,"Antone Smith","RB","CHI","AWAY","GNB",0,4600
"140",2015,12,"Tim Hightower","RB","NOR","AWAY","HOU",0,4500
"141",2015,12,"Doug Baldwin","WR","SEA","HOME","PIT",35.5,5300
"142",2015,12,"Calvin Johnson","WR","DET","HOME","PHI",31.3,8200
"143",2015,12,"Sammy Watkins","WR","BUF","AWAY","KAN",30.8,6800
"144",2015,12,"Markus Wheaton","WR","PIT","AWAY","SEA",30.6,4900
"145",2015,12,"Brandon Marshall","WR","NYJ","HOME","MIA",29.6,7800
"146",2015,12,"Jarvis Landry","WR","MIA","AWAY","NYJ",29.4,7000
"147",2015,12,"Jeremy Maclin","WR","KAN","HOME","BUF",26.5,6200
"148",2015,12,"Seth Roberts","WR","OAK","AWAY","TEN",26.3,4900
"149",2015,12,"Odell Beckham Jr.","WR","NYG","AWAY","WAS",24.7,9100
"150",2015,12,"T.Y. Hilton","WR","IND","HOME","TAM",24.5,6900
"151",2015,12,"A.J. Green","WR","CIN","HOME","STL",21.1,8200
"152",2015,12,"Travis Benjamin","WR","CLE","HOME","BAL",19,5900
"153",2015,12,"Jermaine Kearse","WR","SEA","HOME","PIT",18.7,5100
"154",2015,12,"Steve Johnson","WR","SDG","AWAY","JAC",18.7,5500
"155",2015,12,"Tavon Austin","WR","STL","AWAY","CIN",18.6,5800
"156",2015,12,"Kamar Aiken","WR","BAL","AWAY","CLE",17,6100
"157",2015,12,"Martavis Bryant","WR","PIT","AWAY","SEA",16.5,6700
"158",2015,12,"DeVante Parker","WR","MIA","AWAY","NYJ",16,4500
"159",2015,12,"Donte Moncrief","WR","IND","HOME","TAM",15.4,5900
"160",2015,12,"Amari Cooper","WR","OAK","AWAY","TEN",15,6800
"161",2015,12,"Dontrelle Inman","WR","SDG","AWAY","JAC",15,4900
"162",2015,12,"Eric Decker","WR","NYJ","HOME","MIA",14.7,7100
"163",2015,12,"Golden Tate","WR","DET","HOME","PHI",14.5,6300
"164",2015,12,"Emmanuel Sanders","WR","DEN","HOME","NWE",14.3,7500
"165",2015,12,"Allen Robinson","WR","JAC","HOME","SDG",14.1,7900
"166",2015,12,"DeSean Jackson","WR","WAS","HOME","NYG",13.6,6300
"167",2015,12,"Jordan Matthews","WR","PHI","AWAY","DET",13.5,6000
"168",2015,12,"Cole Beasley","WR","DAL","HOME","CAR",13.4,5200
"169",2015,12,"Anquan Boldin","WR","SFO","HOME","ARI",13.3,5700
"170",2015,12,"Alshon Jeffery","WR","CHI","AWAY","GNB",12.5,7600
"171",2015,12,"John Brown","WR","ARI","AWAY","SFO",12.4,5700
"172",2015,12,"Larry Fitzgerald","WR","ARI","AWAY","SFO",11.6,7400
"173",2015,12,"Brian Hartline","WR","CLE","HOME","BAL",11.4,5100
"174",2015,12,"Cecil Shorts","WR","HOU","HOME","NOR",11.3,5600
"175",2015,12,"Harry Douglas","WR","TEN","HOME","OAK",10.4,5300
"176",2015,12,"Randall Cobb","WR","GNB","HOME","CHI",10.4,7400
"177",2015,12,"Devin Smith","WR","NYJ","HOME","MIA",10.3,4600
"178",2015,12,"Rueben Randle","WR","NYG","AWAY","WAS",10.1,5600
"179",2015,12,"Michael Crabtree","WR","OAK","AWAY","TEN",9.9,6500
"180",2015,12,"Jerricho Cotchery","WR","CAR","AWAY","DAL",9.8,4800
"181",2015,12,"Vincent Jackson","WR","TAM","AWAY","IND",9.6,6400
"182",2015,12,"Kenny Britt","WR","STL","AWAY","CIN",9.3,5200
"183",2015,12,"Nick Williams","WR","ATL","HOME","MIN",9.1,4500
"184",2015,12,"Roddy White","WR","ATL","HOME","MIN",9,5200
"185",2015,12,"Mike Evans","WR","TAM","AWAY","IND",8.9,8100
"186",2015,12,"Julio Jones","WR","ATL","HOME","MIN",8.1,9300
"187",2015,12,"Antonio Brown","WR","PIT","AWAY","SEA",8.1,9000
"188",2015,12,"Greg Jennings","WR","MIA","AWAY","NYJ",7.9,4500
"189",2015,12,"Andre Caldwell","WR","DEN","HOME","NWE",7.8,4500
"190",2015,12,"Marvin Jones","WR","CIN","HOME","STL",7,5400
"191",2015,12,"Willie Snead","WR","NOR","AWAY","HOU",7,6300
"192",2015,12,"Marquess Wilson","WR","CHI","AWAY","GNB",6.4,5800
"193",2015,12,"J.J. Nelson","WR","ARI","AWAY","SFO",6.3,5100
"194",2015,12,"Allen Hurns","WR","JAC","HOME","SDG",6.2,7200
"195",2015,12,"DeAndre Hopkins","WR","HOU","HOME","NOR",6.1,9400
"196",2015,12,"Torrey Smith","WR","SFO","HOME","ARI",6.1,5500
"197",2015,12,"Brandin Cooks","WR","NOR","AWAY","HOU",6,7300
"198",2015,12,"Terrance Williams","WR","DAL","HOME","CAR",5.9,5900
"199",2015,12,"Nate Washington","WR","HOU","HOME","NOR",5.8,5300
"200",2015,12,"Brandon LaFell","WR","NWE","AWAY","DEN",5.6,6900
