Name	Projection	Id	Position	First Name	Last Name	FPPG	Played	Salary	Game	Team	Opponent	Location	Injury Indicator	Injury Details
Andre Caldwell	2.860338715	6753	WR	Andre	Caldwell	2.2	11	4500	DEN@SD	DEN	SDG	SDG		
Mychal Rivera	2.803300635	30807	TE	Mychal	Rivera	2.7	11	4600	KC@OAK	OAK	KAN	OAK		
Jaron Brown	2.798148093	24589	WR	Jaron	Brown	2.1	11	4500	ARI@STL	ARI	STL	STL		
Javontee Herndon	2.790734741	31093	WR	Javontee	Herndon	2	3	4500	DEN@SD	SDG	DEN	SDG		
Charles Johnson	2.747851765	39449	WR	Charles	Johnson	1.9	9	4600	SEA@MIN	MIN	SEA	MIN		
Lance Kendricks	2.726173771	14240	TE	Lance	Kendricks	3.9	10	4800	ARI@STL	STL	ARI	STL		
Garrett Graham	2.716979429	11538	TE	Garrett	Graham	1.4	8	4500	HOU@BUF	HOU	BUF	BUF		
Luke Willson	2.696025048	32000	TE	Luke	Willson	2.7	10	4800	SEA@MIN	SEA	MIN	MIN		
Devin Street	2.60545921	25886	WR	Devin	Street	1.5	11	4900	DAL@WAS	DAL	WAS	WAS		
Jordan Norwood	2.604793733	10531	WR	Jordan	Norwood	2.1	7	4500	DEN@SD	DEN	SDG	SDG		
David Cobb	2.601933721	28249	RB	David	Cobb	0.3	2	4800	JAC@TEN	TEN	JAX	TEN		
Marlon Brown	2.590929923	30385	WR	Marlon	Brown	1.8	10	4500	BAL@MIA	BAL	MIA	MIA	D	Back
Taiwan Jones	2.590393702	14319	RB	Taiwan	Jones	3	8	4500	KC@OAK	OAK	KAN	OAK	D	Knee
Roy Helu	2.590393702	14305	RB	Roy	Helu	2.3	7	4800	KC@OAK	OAK	KAN	OAK		
Jamize Olawale	2.590393702	23046	RB	Jamize	Olawale	2.9	9	4600	KC@OAK	OAK	KAN	OAK		
Trey Burton	2.572281288	30297	TE	Trey	Burton	0.5	11	4600	PHI@NE	PHI	NWE	NWE		
Terron Ward	2.550800283	29540	RB	Terron	Ward	2.4	11	4500	ATL@TB	ATL	TAM	TAM		
Patrick DiMarco	2.550800283	14683	RB	Patrick	DiMarco	2.1	11	4500	ATL@TB	ATL	TAM	TAM		
Rashad Ross	2.497698445	29084	WR	Rashad	Ross	2.1	8	4800	DAL@WAS	WAS	DAL	WAS		
Lee Smith	2.43326099	14348	TE	Lee	Smith	1	10	4500	KC@OAK	OAK	KAN	OAK		
Henry Hynoski	2.366036255	15032	RB	Henry	Hynoski	0	0	4500	NYJ@NYG	NYG	NYJ	NYG		
Anthony Dixon	2.268887342	11594	RB	Anthony	Dixon	1.4	11	4600	HOU@BUF	BUF	HOU	BUF		
Matthew Mulligan	2.267254698	7918	TE	Matthew	Mulligan	0.1	11	4500	HOU@BUF	BUF	HOU	BUF		
Storm Johnson	2.247868439	34275	RB	Storm	Johnson	0	0	4500	JAC@TEN	JAX	TEN	TEN		
Bernard Pierce	2.247868439	22029	RB	Bernard	Pierce	0.5	7	4500	JAC@TEN	JAX	TEN	TEN	Q	Calf
Stepfan Taylor	2.166324796	29723	RB	Stepfan	Taylor	0.2	11	4500	ARI@STL	ARI	STL	STL		
Michael Hoomanawanui	2.148162918	11556	TE	Michael	Hoomanawanui	2	9	4500	CAR@NO	NOR	CAR	NOR		
Trey Williams	2.109463561	32410	RB	Trey	Williams	0	0	4500	PHI@NE	NWE	PHI	NWE		
Donald Brown	2.106950717	6660	RB	Donald	Brown	0.3	5	4500	DEN@SD	SDG	DEN	SDG		
Rhett Ellison	2.09564484	22065	TE	Rhett	Ellison	1.9	10	4500	SEA@MIN	MIN	SEA	MIN		
Rod Streater	2.09358583	22938	WR	Rod	Streater	1.3	1	4500	KC@OAK	OAK	KAN	OAK		
Jeremy Ross	2.09358583	14837	WR	Jeremy	Ross	1.3	6	4500	KC@OAK	OAK	KAN	OAK		
Foswhitt Whittaker	2.083400143	37245	RB	Foswhitt	Whittaker	1	11	4500	CAR@NO	CAR	NOR	NOR		
Tim Hightower	2.064669662	6828	RB	Tim	Hightower	1.5	3	4500	CAR@NO	NOR	CAR	NOR		
Kevin Smith	2.028125071	30012	WR	Kevin	Smith	1.3	2	4500	SEA@MIN	SEA	MIN	MIN		
CHI Defense	2.014323765	12527	DEF	Chicago	Bears	5.5	11	4400	SF@CHI	CHI	SFO	CHI		
Josh Hill	2.013456422	39492	TE	Josh	Hill	2.3	11	4700	CAR@NO	NOR	CAR	NOR		
Kris Durham	1.984479485	14302	WR	Kris	Durham	0	0	4500	KC@OAK	OAK	KAN	OAK		
Trindon Holliday	1.984479485	11622	WR	Trindon	Holliday	0	0	4500	KC@OAK	OAK	KAN	OAK		
Dwayne Bowe	1.898950119	6488	WR	Dwayne	Bowe	0.9	5	4700	CIN@CLE	CLE	CIN	CLE		
Cameron Artis-Payne	1.81454999	38269	RB	Cameron	Artis-Payne	0.8	4	4500	CAR@NO	CAR	NOR	NOR		
Tommy Streeter	1.776493832	22144	WR	Tommy	Streeter	0	0	4500	BAL@MIA	MIA	BAL	MIA		
Ka'Deem Carey	1.763676058	29003	RB	Ka'Deem	Carey	1.6	6	4700	SF@CHI	CHI	SFO	CHI	P	Concussion
Bruce Ellington	1.761333547	30709	WR	Bruce	Ellington	1	8	4500	SF@CHI	SFO	CHI	CHI	P	Wrist
Kenjon Barner	1.748762057	29357	RB	Kenjon	Barner	1.5	5	4900	PHI@NE	PHI	NWE	NWE		
Damien Williams	1.713735103	27441	RB	Damien	Williams	1.6	11	4900	BAL@MIA	MIA	BAL	MIA		
Marqise Lee	1.673904805	29593	WR	Marqise	Lee	2	5	4600	JAC@TEN	JAX	TEN	TEN		
Jason Avant	1.671771459	6388	WR	Jason	Avant	1.3	11	4500	KC@OAK	KAN	OAK	OAK		
MyCole Pruitt	1.661111643	62505	TE	MyCole	Pruitt	0.8	11	4500	SEA@MIN	MIN	SEA	MIN		
Junior Hemingway	1.562665114	22177	WR	Junior	Hemingway	0	0	4500	KC@OAK	KAN	OAK	OAK		
Frankie Hammond	1.562665114	30249	WR	Frankie	Hammond	0	4	4500	KC@OAK	KAN	OAK	OAK		
Chandler Worthy	1.550690407	47720	WR	Chandler	Worthy	1	3	4500	HOU@BUF	HOU	BUF	BUF		
Christine Michael	1.52480903	32418	RB	Christine	Michael	1.2	5	5100	DAL@WAS	WAS	DAL	WAS		
Seyi Ajirotutu	1.501434007	11870	WR	Seyi	Ajirotutu	0.1	10	4500	PHI@NE	PHI	NWE	NWE	P	Calf
Marc Mariani	1.501258737	11635	WR	Marc	Mariani	0.9	11	4700	SF@CHI	CHI	SFO	CHI		
Chris Harper	1.484041167	29237	WR	Chris	Harper	-0.7	3	4500	PHI@NE	NWE	PHI	NWE		
Matthew Slater	1.484041167	7856	WR	Matthew	Slater	0	11	4500	PHI@NE	NWE	PHI	NWE		
John Conner	1.472166116	11557	RB	John	Conner	0	0	4500	HOU@BUF	BUF	HOU	BUF		
Bradley Marquez	1.466295255	32632	WR	Bradley	Marquez	0.7	11	4500	ARI@STL	STL	ARI	STL		
Brian Quick	1.463056948	21972	WR	Brian	Quick	1.1	8	4500	ARI@STL	STL	ARI	STL		
Justice Cunningham	1.445884249	30667	TE	Justice	Cunningham	0	2	4500	ARI@STL	STL	ARI	STL		
Eric Weems	1.43821741	6622	WR	Eric	Weems	0.1	11	4500	ATL@TB	ATL	TAM	TAM		
Terrance West	1.339305717	54607	RB	Terrance	West	1.6	3	4800	BAL@MIA	BAL	MIA	MIA		
