FPPG,ID,Location,Name,Opponent,Position,Salary,Team,Projection 1,Projection 2,Projection 3,Projection 4,Projection 5,Projection 6,Projection 7,Projection 8,Projection 9,Projection 10,Projection 11,Projection 12,Projection 13,Projection 14,Projection 15,Projection 16,Projection 17,Projection 18,Projection 19,Projection 20,Projection 21,Projection 22,Projection 23,Projection 24,Projection 25,Projection 26,Projection 27,Projection 28,Projection 29,Projection 30,Projection 31,Projection 32,Projection 33,Projection 34,Projection 35,Projection 36,Projection 37,Projection 38,Projection 39,Projection 40,Projection 41,Projection 42,Projection 43,Projection 44,Projection 45,Projection 46,Projection 47,Projection 48,Projection 49,Projection 50,Mean,Median,Standard Deviation
16.2,21994,DEN,Brock Osweiler,CIN,QB,6800,DEN,13.9546690319,17.3848371673,16.2427269746,16.0508255054,16.7643101161,19.4360365951,17.2332313593,16.467236509,17.1635970325,16.8569176554,14.8195054501,15.549223967,14.2610063408,16.509663226,16.3320369547,15.6508762045,17.6427547371,16.1607429594,16.526960637,14.5368136294,16.4522222181,18.6845218461,17.21355579,16.717131031,16.8602469498,16.2265442396,13.7311635106,15.6001208934,15.9874985044,15.4962418044,14.7150560797,19.2432495179,17.4336260773,17.6164553642,14.2805423502,17.0548756902,17.0460607261,19.4816517795,15.4504007391,16.0084881622,19.1552816731,14.9810904165,15.8099698852,13.7937270206,13.968419834,16.2878011981,16.5404195409,16.7769297013,17.252883867,16.5940704689,16.3600843786,16.4597293635,1.40894346073
6.7,22994,SEA,Case Keenum,SEA,QB,6000,STL,6.3245898893,7.18404712788,8.60534776752,7.55625978294,7.7394722985,6.2774353779,4.71996256933,6.46798389921,7.18840570906,5.97389431088,5.43859531553,7.17693555736,7.56650735701,7.65236603658,5.72650524157,8.51652867049,8.83976147801,6.63182439956,10.0896099386,6.77001176331,4.81433238894,6.3249970994,7.94252996887,9.70281023702,7.16232947049,7.58387986053,7.124801319,9.15117143974,11.1816557208,11.688636707,9.13818282202,6.75896259091,6.93796641806,9.58746537893,5.76226789644,6.55864891534,9.52467519151,6.15450140191,6.44419791024,9.27615818787,6.51829758649,5.65781355301,6.60452975845,8.20132464724,8.10888178304,7.78152975229,7.6527450091,6.79966580142,7.92431973726,9.35961844403,7.51749882976,7.18622641847,1.50853507615
21.6,22015,SEA,Russell Wilson,STL,QB,8800,SEA,20.3162223729,20.6262712078,20.9236442814,20.2477624534,20.6744482881,20.8471143946,20.1756040273,21.8726580731,21.7275073366,20.7877997893,21.0044232584,20.2798673684,21.373433221,20.4489491776,20.8940908297,22.594183798,20.3473526164,21.4878779495,21.5028944695,22.0999562286,21.8316056277,21.495241853,19.4924559,20.5254428033,21.1344416976,19.5087096104,19.7011878917,24.3303485975,20.6125685971,20.0066261157,20.667003842,21.218483068,19.0547235933,21.1590270406,20.5132315373,19.8660363169,19.1210607121,19.9987648574,20.3595913118,21.3413563917,21.320392171,20.9463224581,21.3572529343,20.1260650735,20.8481365552,19.6556637161,21.1040592782,21.5280916844,21.1446245763,20.4928010935,20.813867561,20.817457092,0.902993315791
15.2,6616,ATL,Matt Ryan,CAR,QB,6800,ATL,15.1230110474,16.1645282411,15.4207392138,15.2949857998,17.03578014,16.2547829039,14.2913675131,14.3038775699,15.252274764,15.9913796444,14.3290631713,17.0556439622,14.3527692104,14.2979467662,14.9153399741,14.9925129133,16.8152454572,15.935200022,15.2457701666,17.4992111334,13.8056345329,15.661369065,15.5393701897,14.1292899727,15.4134358134,14.3928903692,15.6356896019,14.0071509633,17.2929489406,16.4337704175,12.3845764932,14.659910107,15.9267237711,15.6542454655,15.0722751962,14.6950101861,16.0134089903,15.9479482914,16.1455790206,14.6475143902,15.6776791368,13.8755031902,16.4085085371,15.3655040701,14.8143734689,16.0414064092,18.5265108476,16.8496687122,15.2898901264,16.8546521264,15.4746773603,15.4170875136,1.11707716261
25.1,14185,ATL,Cam Newton,ATL,QB,9300,CAR,21.4189779621,19.9855501199,20.5954387633,20.3804054772,23.6682278939,22.2708606763,20.7814566668,29.7234513704,24.1303014007,25.8142042567,21.2403056505,25.2733570828,23.3255110843,23.4474095693,20.7682828465,20.2494428927,22.7398044461,22.3753079257,22.3361636281,22.1241566709,22.2802949678,23.039122758,22.5942825389,22.3558483913,24.0216446779,20.3558069506,22.8377999652,27.582509368,19.5905127248,21.4219707938,22.2818598605,24.4988271943,20.521708104,26.8975821104,24.3183936471,20.9447912096,20.08043548,27.3669449828,20.357415736,24.4440092255,24.4021187586,21.456004804,25.0756986132,22.5940506869,22.7034705651,23.131793957,23.3860991052,22.645212435,25.1436370112,22.770483863,22.8749789374,22.619747487,2.15118681563
6.4,31421,TEN,Zach Mettenberger,HOU,QB,6000,TEN,6.31481899517,5.22160369108,8.22765676798,7.82956422393,6.61930030866,6.1442174418,8.96858262739,6.70448039918,6.35186670496,9.04511846854,6.20093158691,5.81769021863,7.86203577828,7.19304907758,5.55846188927,6.31006126459,10.8805016552,10.6682072727,6.88590324211,10.3091875786,9.6779737327,5.11182920554,7.38860993505,8.94788510333,9.79277639179,7.55631817206,6.92485494431,6.31234106921,11.2037311969,6.99552998539,7.31682399697,5.81941063817,8.18249398268,5.95809524234,6.6243954189,8.08234939415,5.17175441647,6.40880105131,7.51325978418,5.13941473279,7.15138894309,9.97456052682,5.89792730972,8.3468123867,7.61390169309,8.01645880614,7.93395142962,8.39182292713,7.15509704237,9.00150924445,7.49450635792,7.25493653727,1.56006113254
16.1,7872,TEN,Brian Hoyer,TEN,QB,6700,HOU,17.0761373853,16.1889431264,15.7694391653,16.6420335119,16.5027040297,15.4830139704,15.3007820337,17.9076361977,17.1856493408,15.7688742445,16.9247227848,20.2675877662,16.1958250334,16.3553296375,16.6848144702,15.7602221536,13.2561358685,14.4440328706,17.0144168648,15.587012387,17.1263182616,14.5009775313,15.8958682781,15.0840645443,16.7572567996,17.0790425008,16.6835692316,16.6740072804,15.9857032598,15.5666153901,17.3995589375,16.6975933678,16.4833792265,17.1249434659,16.6622406602,16.924300546,16.5814007354,13.9565661709,15.9002293259,14.9482127357,16.9774690384,15.9378998573,16.9913385671,17.3573364784,17.0027110779,16.2381333396,15.8410959266,15.1644537496,14.3403527311,21.6882111268,16.3577232597,16.4930416281,1.3493414772
23.8,6498,NYJ,Tom Brady,NYJ,QB,8800,NWE,24.8692552564,22.3365208346,19.9649812933,24.3891713991,22.8429977643,21.4234786045,23.0507876514,22.2033839251,21.8799065645,26.1515682185,22.5195303538,24.6959183358,19.7158470101,23.8583246007,18.2171253496,21.7897884711,24.8326525259,23.2374398017,20.928069681,22.3782242594,18.9550826836,21.9194714632,21.6489344449,22.4029385388,23.5307413941,20.4940087025,19.6232514363,22.5295506551,21.307095591,21.521764869,20.348304556,22.3643023824,20.5210793299,22.4690319618,22.2674864747,22.9212693292,21.2483189111,21.1355222282,23.9847666942,20.1743884329,22.9635742976,20.6650832544,23.7372936374,23.5904897907,21.826009456,22.8585131128,18.7578091595,22.4049671717,23.4808988577,19.6880290153,22.0524989947,22.3020036546,1.68363704875
18.8,7659,NYJ,Ryan Fitzpatrick,NWE,QB,7700,NYJ,18.8012735347,19.5294663271,17.9279020787,18.2797134907,19.1283275739,18.0749236184,16.3504683733,18.7870256337,18.9972025361,20.4417927145,18.7481618427,18.8581022936,19.3187933932,17.3081732964,18.0672543354,17.7818775325,20.1900980516,17.6134239351,17.7661065759,19.1668503849,16.5683401492,18.9995400243,18.6549195909,19.4024993164,19.1492448197,19.4333771505,19.7647324902,17.6990093733,17.9201696042,18.5160177474,17.4260685738,18.171675504,19.4554072985,19.391218069,18.9194802148,18.1111370174,19.3367075623,18.3558130786,19.169365879,19.1793021473,18.4548652522,18.2412296679,19.3740257064,17.8234680828,18.303654644,18.7823685166,19.7662595783,17.598570006,18.6068290718,17.9527126584,18.5932989264,18.7015407168,0.845552052088
20.0,6894,ARI,Aaron Rodgers,ARI,QB,8500,GNB,22.2375613998,20.9671237696,19.7013392231,21.2174874437,20.4182631441,19.2679426878,21.3773977666,20.714419491,19.1347807293,20.2519333962,30.4808342693,20.6135214737,19.4458835397,21.1126785807,18.7327030578,19.732539988,20.3223031251,19.1258105077,20.0075432353,19.1316163204,20.1858213071,20.9124750892,19.3193711104,18.8349797687,24.4544250058,19.6013763375,20.702112969,18.5494984881,19.0368563525,23.6167643876,19.5060206191,19.1738476652,19.0783639532,20.1488323909,20.6620984694,20.4709395249,21.1214616973,18.6690422049,25.8239112089,20.4089854231,20.294522992,19.6221126431,27.7830286939,23.7923529116,19.8510930713,20.3794151189,19.5983018099,19.7732859917,19.386229925,19.5217125845,20.6854584573,20.167326849,2.27182116836
21.0,6748,ARI,Carson Palmer,GNB,QB,8700,ARI,25.4350168329,20.1992396429,19.4486548889,21.0281202354,21.9143283464,19.8383639112,21.8812365734,20.5012790079,21.1600276974,21.0033248453,19.7516058712,20.7614305079,17.8101941687,19.8950642419,20.2824241439,20.7149190745,20.1473371563,21.6786317903,19.961721549,21.0464896799,21.1441197561,21.7653841794,18.8928650508,20.3024921262,21.9453850177,21.7028778674,21.7752707068,20.6087415718,19.8070679708,21.2048457689,19.9517386298,19.0141751606,20.5884363958,20.1465366121,21.333681678,19.9648455683,21.2256200471,21.0860754595,24.8538359755,19.8023585216,19.7980165504,19.8043523208,23.3386946876,18.551451465,20.7783096324,20.4157628118,15.9335235171,20.6603986328,20.5177419351,20.1362284775,20.6302048852,20.5530891655,1.47711033465
10.6,32415,KAN,Johnny Manziel,KAN,QB,6000,CLE,10.6209660141,10.0759259955,10.6132958534,11.3247032589,8.55609367521,11.4362654421,10.2268860147,14.8689573331,8.39882250628,11.2626432118,9.24579233134,12.3054522699,12.8015909591,8.97922481719,7.90305843859,11.1122743535,11.1643494026,9.63051720219,11.3682738943,9.68068033038,8.47626871483,9.27428275634,12.5464870877,9.44122717497,9.93726103102,9.49369041113,10.1632306699,9.09632140633,13.5196623653,10.2123690453,11.3270468066,7.95775408794,7.33357296845,9.0948147436,9.74306599134,9.41271112703,7.87167537733,12.1405509413,11.7411017666,10.2107318014,12.3914092258,9.63365848966,8.62934001178,10.1072058689,11.1790199454,9.1780977013,10.3500356589,11.242875482,10.3159772032,6.26419570239,10.1972282974,10.1352182694,1.62290186109
17.0,8005,KAN,Alex Smith,CLE,QB,6800,KAN,17.2836583567,16.0134540152,16.8311183219,17.4551904471,17.656788231,16.7483980635,17.155527352,15.7553866887,18.593103317,16.4517075111,16.5947122176,16.071181962,18.118847479,18.5046695705,17.1135070037,18.1770593891,16.7104575037,18.1258563384,18.0586815127,18.6862300994,17.0039226511,16.2130821736,16.4497223386,17.1546395647,16.9192982644,16.3143165126,18.08988785,17.2473448931,16.7247984953,17.2211717312,18.9536575621,14.1980104627,16.2537299307,16.1114566793,16.4305514767,16.2611787341,14.5816648334,16.9535597927,19.1948556276,16.9521212418,17.0668074048,18.5893241949,17.1208290732,17.6228359638,18.4183743659,17.4960204235,17.0287526615,18.2052166913,17.5291164802,17.1817170453,17.15187001,17.1171680384,1.00605774605
20.5,14377,BUF,Tyrod Taylor,DAL,QB,7700,BUF,22.1077784082,21.3945611017,20.2129490102,19.0933027878,19.2334335852,20.026404227,20.6610410988,20.2344290263,18.4746494711,20.8381584245,18.7134598696,21.9047956141,20.4785911814,19.5017766994,20.0286673131,19.2338565813,19.64312814,18.6933634844,20.4326407752,19.9744100904,21.4521497432,18.8933373875,19.190695419,21.8892147286,20.1514006383,22.711763948,20.5582629103,23.1229109571,25.4451411391,19.9810981007,19.6360139419,20.1860275114,19.9760295567,20.4112585982,20.9079399385,19.4339821356,20.8250507428,21.4049665776,20.6542626705,20.6143195241,20.2676495649,21.8530933063,20.7831145243,18.5736272166,17.1611090135,20.7352383347,22.3291063401,20.3987391363,19.1942645172,20.1581434116,20.3956261685,20.2510392956,1.36022463575
7.3,22894,BUF,Kellen Moore,BUF,QB,6000,DAL,15.1730258374,7.59942379063,8.2653947895,6.1652437637,4.84617633242,13.5243910729,12.6156596871,7.0684410093,6.42219321701,8.46784663407,6.72721052649,13.6526813232,7.77915157791,8.59135815708,8.30160288569,7.16268001002,7.63730540559,7.87174646954,6.54140057007,11.6070429169,9.20200662546,15.0161011595,6.63124829451,4.44491039749,5.70813224169,6.99341396782,8.17901201623,8.80990344034,12.185963399,8.18720504412,5.60452502921,7.5184561338,11.6682604598,15.0574642024,7.91676819683,13.9606469205,4.88565174263,13.4332798722,7.6662209174,8.55632806124,8.88971734212,7.65715083126,6.14239644097,12.7103293519,9.37812869563,6.90099426896,8.0937144649,7.52039754923,11.854532175,6.58998129331,8.86765633024,8.00524133086,2.87627188239
15.9,6898,TAM,Jay Cutler,TAM,QB,6900,CHI,15.7919428752,17.6026447258,14.1578643588,16.1515006927,15.0252658595,15.4179227663,14.8162740654,15.7092933208,17.2000623779,16.0232942967,17.3041611746,16.6221021614,13.4116245707,16.6727606974,15.7852369181,16.4533365733,16.5463963715,17.0344577665,16.9966892822,16.0483178803,16.6049806862,16.0666810789,16.3465615344,17.941586105,15.3934493656,15.8555439104,16.4003367128,16.5925175811,15.1949992135,15.4475075995,16.5217721257,17.6466238657,17.2027807433,16.4553947612,18.7583147755,19.0453291504,16.993181479,15.964443131,15.2922264037,16.6286021798,17.3180619938,16.403662052,14.9926141196,16.7260006786,15.2579339671,14.712157675,16.7121660783,15.621794262,17.4827765888,16.5185815547,16.2973946022,16.4284993126,1.05796087359
17.8,24849,TAM,Jameis Winston,CHI,QB,7300,TAM,17.316173398,19.0972173969,16.4727432225,16.8390107286,17.0162091503,18.2703332343,17.7388785383,17.0675629159,16.88110347,17.527231975,18.1586805419,17.719002418,18.0774071657,17.0866516945,17.796296321,18.3487419819,17.6718960291,17.9908997753,17.6285237092,18.8503244564,17.5458427867,16.3732968408,18.7376533076,17.1136657777,19.1775529584,17.4502664211,18.8392330566,17.4353129025,18.2525258459,17.3539489021,18.2308915045,17.3149452191,18.545779753,17.3610831632,18.1644508445,18.1737189147,17.7468979221,18.0848313257,18.7234834797,17.2473717384,18.0179893253,19.1592891311,17.0271428197,17.4349188242,18.7555354802,18.0843308189,17.7249605116,19.1650539132,17.2882609781,18.1027586838,17.8437576255,17.7428882302,0.701741291318
19.5,6826,MIN,Eli Manning,MIN,QB,7400,NYG,19.1719986419,19.2716005484,18.9188012143,18.2583079832,19.4240792452,18.9041038223,19.4536658189,18.5296247577,18.8565234287,18.6264633846,20.6176944604,19.3362018931,19.7729770641,16.3804388296,18.7930760587,18.321464554,19.4905270658,16.3025580989,19.7918502122,18.6829444077,21.0985967179,17.9121433825,19.3813518371,18.6809548714,20.3634105689,18.6465285669,17.3139342025,24.8993341556,17.8359916209,19.509360132,18.4360355471,19.7174039109,18.2225279529,19.7954940376,23.0694125802,19.2918216984,18.9460981879,26.4565777033,20.6549096551,19.947848526,19.5682026293,19.2370120306,18.0853076173,20.3645956786,19.2382291906,19.9720540149,20.4001336655,19.4481965686,17.9940814196,17.704037273,19.3819297487,19.2549148695,1.71490987775
13.9,33259,MIN,Teddy Bridgewater,NYG,QB,6600,MIN,15.7868902966,13.6659663091,13.7380320924,14.5089993764,11.4065101575,13.8875906123,13.9579825493,13.8222270117,11.8669808488,11.9724464674,15.3911084858,11.5895456352,13.8257839921,14.9721973951,15.6640554705,15.3272018087,13.5474783386,14.5247461558,14.1514147071,14.6841547572,15.6585993363,14.4480349778,14.3227226248,15.3931737481,15.5353529468,17.6404379716,13.5117017789,15.6644228467,13.8427124656,12.4783502465,15.2511280605,13.5519161097,14.0217769964,15.7253514136,12.4147033238,14.1849538217,12.6001400521,13.2652105035,13.3619832885,14.7337897111,13.0415048076,16.1437468389,12.9714460164,14.2873101334,15.0422009402,13.3759394448,14.1964101985,14.1904194923,14.1901556659,13.4733966309,14.1362060972,14.1681842644,1.24555708287
19.8,6589,BAL,Ben Roethlisberger,BAL,QB,8900,PIT,20.350361098,20.9724748336,20.1457971936,19.3478907924,19.5125076538,18.3499868781,19.4362884045,19.9007543846,17.3335077629,19.7971407939,22.0097134991,21.1097235159,19.2248880554,19.8476047826,19.6556881081,18.6890367035,23.2064867878,19.6039148885,19.9331229475,19.3122298211,21.8889265272,20.5370555849,25.5466482068,20.2683041074,19.8294499443,20.4589008192,21.10159849,19.1184215534,18.044131618,21.5229761408,17.5106803286,20.706783535,21.6651542659,19.8884410582,21.683387894,20.5994208204,20.5928251691,20.4257503842,20.076885764,20.5880044783,17.949537943,19.8641796759,19.2818953011,20.8808856871,21.2988925321,19.8199066102,19.9919344022,21.0516031346,19.8455609683,20.0990129679,20.1975254963,20.0344100831,1.36859353111
15.3,6679,BAL,Matt Schaub,PIT,QB,6000,BAL,15.263160242,16.0878582746,13.9371969685,15.0388358632,16.0478311473,15.7881934495,15.6914659253,15.3304841997,13.5709944358,14.5461568871,16.2395547067,13.5811633078,13.4666975382,15.6573578801,16.7257315714,15.4543318647,16.0492696911,15.1747696374,16.1745048972,14.5987919375,14.9969035703,15.8445477313,19.6340874851,16.1597851591,16.6433786389,19.2868125075,14.1401281486,16.718441977,15.1654768135,14.3387812875,15.8357728773,16.5618086703,16.1172159247,16.2479375861,14.9915427348,15.7642227401,14.6830011243,16.6725412038,14.7872401825,17.6838885846,13.1041193377,15.231855229,14.6894701102,15.6313564567,14.9160773417,14.2344651284,16.2089766685,15.399268685,16.6382591094,15.2259256808,15.5595527824,15.5428441607,1.24904941048
17.2,14194,DET,Blaine Gabbert,DET,QB,6100,SFO,19.8390959128,16.9009033236,18.0221975156,16.8192287134,16.2709244228,16.4268411821,16.6253481903,17.6811020768,19.6168643024,18.459607574,17.4324309331,17.6446432596,17.4276663317,16.7318773074,15.3342751908,15.566402874,16.8042247313,16.0293906188,15.0011109058,17.6525007814,16.6005642416,16.7187862884,16.5595390473,17.2764702681,14.6757826552,16.3143165126,18.2695423809,16.2088378336,15.7276519303,17.238501647,17.7168256914,15.6734315759,16.7619034934,14.9554572827,18.9477420584,17.7985125586,18.5598168273,17.017342587,17.454613278,17.4877149038,16.5224765383,16.904346508,17.2936921815,18.2797712146,16.6032834115,17.5390054478,17.587521164,15.5523071098,16.8724167869,17.8768370784,17.025632933,16.9026249158,1.09905645274
