name,projection,position,salary,team
Bradley Marquez,1.17093434096,WR,4500,STL
Golden Tate,8.40520038354,WR,6400,DET
Ryan Broyles,0.544567446157,WR,4500,DET
Corey Fuller,0.889981881561,WR,4500,DET
Greg Salas,0.544567446157,WR,4500,DET
Jordan Matthews,9.45295849006,WR,6100,PHI
Riley Cooper,3.67337050641,WR,4900,PHI
Josh Huff,4.32645115771,WR,4800,PHI
Nelson Agholor,2.47120922663,WR,4700,PHI
Seyi Ajirotutu,0.519246982752,WR,4500,PHI
Miles Austin,3.2271234381,WR,4500,PHI
Sammy Watkins,13.6857116057,WR,7200,BUF
Robert Woods,5.73974240253,WR,5100,BUF
Marcus Easley,1.13566664938,WR,4500,BUF
Denarius Moore,0.42693032519,WR,4500,BUF
T.Y. Hilton,12.0444878941,WR,7000,IND
Donte Moncrief,9.64493487381,WR,6100,IND
Andre Johnson,6.68964484048,WR,5200,IND
Phillip Dorsett,3.72494637704,WR,5000,IND
Allen Robinson,18.0242631431,WR,8500,JAC
Allen Hurns,15.8996156485,WR,6600,JAC
Rashad Greene,4.49284463615,WR,4700,JAC
Marqise Lee,2.02211722781,WR,4600,JAC
Ace Sanders,0.427561733002,WR,4500,JAC
Odell Beckham Jr.,16.8806298782,WR,9300,NYG
Rueben Randle,8.84420420839,WR,5600,NYG
Dwayne Harris,7.55663983107,WR,5100,NYG
Geremy Davis,1.26841586668,WR,4500,NYG
Hakeem Nicks,1.89532659672,WR,4500,NYG
Kevin Ogletree,1.26203447081,WR,4500,NYG
Jarvis Landry,14.712884085,WR,7100,MIA
DeVante Parker,4.40902096287,WR,5900,MIA
Kenny Stills,4.80658980956,WR,5000,MIA
Greg Jennings,2.2524025832,WR,4700,MIA
Brian Hartline,6.38796398699,WR,5300,CLE
Dwayne Bowe,1.54408211555,WR,4500,CLE
Torrey Smith,7.2581521917,WR,6100,SF
Anquan Boldin,9.77375901443,WR,5900,SF
Bruce Ellington,1.55752891089,WR,4500,SF
Quinton Patton,3.21533194525,WR,4500,SF
Jerome Simpson,1.60131973684,WR,4500,SF
Latavius Murray,11.8465273983,RB,6200,OAK
Marcel Reece,4.36844661268,RB,4700,OAK
Roy Helu,3.06674008721,RB,4500,OAK
Jamize Olawale,3.33712772718,RB,4500,OAK
Ronnie Hillman,8.81660535715,RB,6400,DEN
Juwan Thompson,0.848814167752,RB,4600,DEN
Jeremy Stewart,0.544362316865,RB,4500,DEN
Javorius Allen,8.31033273058,RB,7000,BAL
Terrance West,2.51365585207,RB,4600,BAL
Kyle Juszczyk,3.97269767894,RB,4500,BAL
Raheem Mostert,0.450650901007,RB,4500,BAL
Thomas Rawls,12.0228555537,RB,7400,SEA
Fred Jackson,3.60361640468,RB,4500,SEA
Derrick Coleman,0.438250434769,RB,4500,SEA
Devonta Freeman,17.1144615836,RB,8700,ATL
Tevin Coleman,3.9301984162,RB,5100,ATL
Terron Ward,2.41263683098,RB,4500,ATL
Patrick DiMarco,2.53065178028,RB,4500,ATL
Jonathan Stewart,10.8861381493,RB,7200,CAR
Mike Tolbert,4.5280674406,RB,4600,CAR
Cameron Artis-Payne,0.901606584238,RB,4500,CAR
Foswhitt Whittaker,0.972950640221,RB,4500,CAR
Eddie Lacy,7.7108548307,RB,6200,GB
James Starks,8.96693131961,RB,5600,GB
John Kuhn,0.993632352829,RB,4500,GB
Alonzo Harris,0.534358773101,RB,4500,GB
Darren McFadden,10.2201620153,RB,6700,DAL
Robert Turbin,2.52742473209,RB,4600,DAL
Rod Smith,0.493509937679,RB,4500,DAL
Antonio Andrews,8.82208118121,RB,5300,TEN
David Cobb,1.42806414207,RB,4500,TEN
Dexter McCluster,6.25799312331,RB,4500,TEN
Bishop Sankey,4.12006241001,RB,4500,TEN
