FPPG,ID,Location,Name,Opponent,Position,Salary,Team,Projection 1,Projection 2,Projection 3,Projection 4,Projection 5,Projection 6,Projection 7,Projection 8,Projection 9,Projection 10,Mean,Median,Standard Deviation
9.9,25079,MIN,Stefon Diggs,CHI,WR,5700,MIN,9.44992763938,9.35249792001,9.22122963521,9.07648396577,10.4887617223,9.03509375319,7.49042785403,8.90401737604,10.531064345,9.96996495368,9.35194691646,9.28686377761,0.832674576162
1.6,39449,MIN,Charles Johnson,CHI,WR,4600,MIN,1.53675138026,1.60923524753,1.4635390868,1.48711569905,1.36615964133,1.03119536984,1.57278058129,1.2654586023,1.4484816058,1.67445937992,1.44551765941,1.47532739293,0.177815374924
1.2,30733,MIN,Cordarrelle Patterson,CHI,WR,4600,MIN,1.18439493555,1.24637695227,1.26615345222,1.20788235896,0.878722057137,0.978070081689,1.2305552106,0.989679119536,1.1938209524,1.42963811718,1.16052932375,1.20085165568,0.155456152045
1.4,39716,MIN,Adam Thielen,CHI,WR,4500,MIN,1.31228884586,1.3071630968,1.34575255568,1.27576458411,1.05083942368,1.01192416576,1.3711229098,1.21050157513,1.31113559868,1.51746414267,1.27139568982,1.30914934774,0.141510664664
15.5,21980,MIN,Alshon Jeffery,MIN,WR,7900,CHI,17.6021803853,13.3062363238,14.2587066202,15.2407656089,13.3525837825,13.9768819755,14.5868935842,14.4816046079,11.0717758851,12.4847372538,14.0362366027,14.1177942978,1.64063694952
1.5,11635,MIN,Marc Mariani,MIN,WR,4800,CHI,1.28031202289,1.41068552411,1.7372344118,1.53382234427,1.37650449072,1.24255662554,1.67180625387,1.64910582406,1.29496882202,1.69156952807,1.48885658473,1.47225393419,0.180121369774
12.4,29501,NOR,Brandin Cooks,DET,WR,7000,NOR,11.9490555434,10.8897892381,10.9650359999,13.1795267696,12.0557375272,14.0198915861,11.2819578375,10.6665179523,13.2142263732,13.9774984955,12.2199237323,12.0023965353,1.22374859635
4.3,26094,NOR,Brandon Coleman,DET,WR,4800,NOR,4.0427754737,4.2072549324,4.260947926,4.16342654457,4.70269269697,4.56226726582,4.83550009387,4.14863055054,4.65178267254,4.52313778919,4.40984159456,4.39204285759,0.262383655758
13.4,6655,NOR,Calvin Johnson,NOR,WR,8000,DET,15.416599277,13.9533627817,12.8291824488,14.1587128826,15.1686898698,19.2378308827,13.630812453,20.7029018523,14.8108012646,14.0487247722,15.3957618484,14.4847570736,2.41762475439
0.6,26343,NOR,Corey Fuller,NOR,WR,4600,DET,0.99771493232,0.755328497427,1.03976920378,0.674709850636,0.513638337781,1.70371432592,0.993594577551,0.753322327917,0.462946812928,0.791661336383,0.868640020264,0.773494916905,0.334543530891
16.4,28643,JAX,Allen Robinson,ATL,WR,8100,JAX,15.9348552562,22.272392554,16.8114475305,24.2300674504,15.7700289561,15.6980073203,22.7593991765,15.1601271836,15.18735446,12.5064691965,17.6330149084,15.8524421062,3.74801724507
5.3,11890,JAX,Bryan Walters,ATL,WR,4900,JAX,5.29587435709,5.14389885807,4.66631673154,4.88138604403,4.91886482863,5.27627255804,4.8036411397,5.71256642795,4.7011930396,4.44999001582,4.98500040005,4.90012543633,0.35389633675
5.8,24862,JAX,Rashad Greene,ATL,WR,4900,JAX,5.39732824555,5.37881735486,5.38078657878,5.17852521883,5.58433808439,5.71962997113,5.46532815743,6.48354481986,5.12080366946,5.01172763569,5.4720829736,5.38905741217,0.392568916066
18.2,14190,JAX,Julio Jones,JAX,WR,8600,ATL,24.5197242047,19.3003488792,17.0122766395,20.3400347098,21.9756783188,20.046985518,16.8208598752,19.6631090403,17.8357240725,14.1584008732,19.1673142131,19.4817289598,2.75608757883
3.3,34071,JAX,Nick Williams,JAX,WR,4500,ATL,3.83420769728,3.19608499177,3.37089516438,4.50235800313,3.67518263168,4.44072847947,3.87338528846,3.43646694958,4.28674647007,3.37378972905,3.79898454049,3.75469516448,0.450060248966
0.1,6622,JAX,Eric Weems,JAX,WR,4500,ATL,0.439884423617,0.226277736189,0.398450094863,0.466504609494,0.478834077322,0.372549752457,0.35717246338,0.459998419039,0.343505923482,0.495332503157,0.4038510003,0.41916725924,0.077929043562
0.0,6904,JAX,Devin Hester,JAX,WR,4500,ATL,0.439884423617,0.226277736189,0.398450094863,0.466504609494,0.478834077322,0.372549752457,0.36813676107,0.459998419039,0.343505923482,0.495332503157,0.404947430069,0.41916725924,0.0773394839634
11.1,31001,OAK,Amari Cooper,GNB,WR,6900,OAK,10.4386535192,11.0182873616,11.2277431218,11.6216501791,10.8218099101,10.2295393601,13.7526978338,10.2419065182,13.4935136831,11.036649877,11.3882451364,11.0274686193,1.19343133078
3.4,14761,OAK,Andre Holmes,GNB,WR,4900,OAK,3.61894182507,3.14392675721,3.65424927194,4.10475985957,3.30891131601,4.28363807946,3.4299874469,5.06123503736,3.39608536399,3.7705579064,3.77722928639,3.6365955485,0.542112702469
