Id,Position,First Name,Last Name,Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Starter
6826,QB,Eli,Manning,Eli Manning,18.4,12,7500,NYG@MIA,NYG,MIA,,,Y
26141,QB,Ryan,Nassib,Ryan Nassib,0,0,5000,NYG@MIA,NYG,MIA,,,N
7659,QB,Ryan,Fitzpatrick,Ryan Fitzpatrick,18.5,12,7800,TEN@NYJ,NYJ,TEN,,,Y
26483,QB,Geno,Smith,Geno Smith,21,1,6000,TEN@NYJ,NYJ,TEN,,,N
31798,QB,Bryce,Petty,Bryce Petty,0,0,5000,TEN@NYJ,NYJ,TEN,,,N
45859,QB,Derek,Carr,Derek Carr,18.5,12,7200,OAK@DEN,OAK,DEN,,,Y
28677,QB,Matt,McGloin,Matt McGloin,5.3,2,5500,OAK@DEN,OAK,DEN,,,N
11414,QB,Sam,Bradford,Sam Bradford,14,10,6300,BUF@PHI,PHI,BUF,,,Y
6687,QB,Mark,Sanchez,Mark Sanchez,12.3,3,5800,BUF@PHI,PHI,BUF,,,N
11761,QB,Thaddeus,Lewis,Thaddeus Lewis,0,0,5000,BUF@PHI,PHI,BUF,,,N
6589,QB,Ben,Roethlisberger,Ben Roethlisberger,20.3,8,8300,PIT@CIN,PIT,CIN,,,Y
27405,QB,Landry,Jones,Landry Jones,4.4,6,6000,PIT@CIN,PIT,CIN,,,N
8118,QB,Michael,Vick,Michael Vick,6.3,5,5000,PIT@CIN,PIT,CIN,,,N
7968,QB,Philip,Rivers,Philip Rivers,19.1,12,7600,SD@KC,SDG,KAN,,,Y
7919,QB,Kellen,Clemens,Kellen Clemens,6.5,1,5200,SD@KC,SDG,KAN,,,N
22015,QB,Russell,Wilson,Russell Wilson,20.3,12,8500,SEA@BAL,SEA,BAL,,,Y
6814,QB,Tarvaris,Jackson,Tarvaris Jackson,-0.2,1,5000,SEA@BAL,SEA,BAL,,,N
14194,QB,Blaine,Gabbert,Blaine Gabbert,18.9,4,6400,SF@CLE,SFO,CLE,,,Y
22994,QB,Case,Keenum,Case Keenum,2.7,2,5900,DET@STL,STL,DET,,,N
22027,QB,Nick,Foles,Nick Foles,9.5,11,5900,DET@STL,STL,DET,,,Y
29445,QB,Sean,Mannion,Sean Mannion,1.2,1,5000,DET@STL,STL,DET,,,N
24849,QB,Jameis,Winston,Jameis Winston,18,12,7800,NO@TB,TAM,NOR,,,Y
25410,QB,Mike,Glennon,Mike Glennon,0,0,5000,NO@TB,TAM,NOR,,,N
29358,QB,Marcus,Mariota,Marcus Mariota,19.4,10,7500,TEN@NYJ,TEN,NYJ,,,Y
31421,QB,Zach,Mettenberger,Zach Mettenberger,3.9,4,6000,TEN@NYJ,TEN,NYJ,,,N
22038,QB,Kirk,Cousins,Kirk Cousins,16.1,12,7000,WAS@CHI,WAS,CHI,,,Y
21941,QB,Robert,Griffin III,Robert Griffin III,0,0,5500,WAS@CHI,WAS,CHI,,,N
11500,QB,Colt,McCoy,Colt McCoy,0,1,5000,WAS@CHI,WAS,CHI,,,N
24920,RB,Devonta,Freeman,Devonta Freeman,20.3,11,8700,ATL@CAR,ATL,CAR,,,Y
27776,RB,Tevin,Coleman,Tevin Coleman,3.8,10,5100,ATL@CAR,ATL,CAR,,,Y
29540,RB,Terron,Ward,Terron Ward,2.4,11,4500,ATL@CAR,ATL,CAR,,,Y
