name,projection,position,salary,team
Donte Moncrief,10.6287919,WR,6100,IND
Odell Beckham Jr.,10.62321281,WR,9300,NYG
DEN Defense,10.5774524,DEF,5400,DEN
Austin Davis,10.30738648,QB,6000,CLE
NE Defense,10.13713209,DEF,4900,NWE
Dan Carpenter,10.12222303,K,4600,BUF
Jeremy Maclin,10.0868905,WR,6900,KAN
Dustin Hopkins,10.04076037,K,4500,WAS
Ladarius Green,10.01000024,TE,5000,SDG
Cecil Shorts,9.986672202,WR,5600,HOU
Danny Amendola,9.952559196,WR,7000,NWE
Connor Barth,9.935286459,K,4600,TAM
Graham Gano,9.899462965,K,4900,CAR
Sam Bradford,9.860601221,QB,6300,PHI
Benjamin Watson,9.813703539,TE,5300,NOR
Antonio Andrews,9.805594113,RB,5300,TEN
Caleb Sturgis,9.75244418,K,4600,PHI
Thomas Rawls,9.680667397,RB,7400,SEA
Antonio Gates,9.621446405,TE,5700,SDG
OAK Defense,9.484739842,DEF,4300,OAK
Justin Tucker,9.469462693,K,4700,BAL
NYG Defense,9.394024982,DEF,4600,NYG
Jonathan Stewart,9.277194219,RB,7200,CAR
Robbie Gould,9.274975574,K,4800,CHI
HOU Defense,9.236617661,DEF,4500,HOU
Darren McFadden,9.220480184,RB,6700,DAL
Terrance Williams,9.203618095,WR,5700,DAL
Kendall Wright,9.174159391,WR,5200,TEN
Rueben Randle,9.120101968,WR,5600,NYG
NO Defense,9.101844968,DEF,4000,NOR
Marques Colston,8.942321679,WR,5100,NOR
Jermaine Kearse,8.907494884,WR,5500,SEA
LeGarrette Blount,8.894074059,RB,6300,NWE
Cairo Santos,8.875452746,K,4700,KAN
KC Defense,8.863845271,DEF,4800,KAN
Ted Ginn Jr.,8.862287368,WR,6000,CAR
Ronnie Hillman,8.760931143,RB,6400,DEN
NYJ Defense,8.686928502,DEF,4800,NYJ
Dan Bailey,8.642014299,K,4500,DAL
Brian Hartline,8.609760839,WR,5300,CLE
TB Defense,8.575809195,DEF,4300,TAM
Brandon LaFell,8.514536586,WR,6400,NWE
Nick Novak,8.467562967,K,4500,HOU
SEA Defense,8.448773405,DEF,5300,SEA
Brandon Bolden,8.438882307,RB,5100,NWE
Kai Forbath,8.426825711,K,4600,NOR
Kamar Aiken,8.424100895,WR,6000,BAL
Duke Johnson,8.422814131,RB,5600,CLE
Jason Witten,8.420297856,TE,5500,DAL
Jacob Tamme,8.393376345,TE,5200,ATL
CAR Defense,8.328174625,DEF,5000,CAR
Jeremy Hill,8.249947804,RB,6400,CIN
Vincent Jackson,8.246171129,WR,6800,TAM
Cameron Brate,8.233576743,TE,4900,TAM
Nate Washington,8.227677321,WR,5200,HOU
Malcom Floyd,8.131067909,WR,5400,SDG
Andre Johnson,8.123569345,WR,5200,IND
DeVante Parker,8.079708016,WR,5900,MIA
Marvin Jones,8.051231761,WR,6200,CIN
Phil Dawson,7.965903832,K,4700,SFO
Melvin Gordon,7.926103308,RB,5300,SDG
ATL Defense,7.867469909,DEF,4300,ATL
Mohamed Sanu,7.834950088,WR,5000,CIN
Travis Coons,7.768642296,K,4500,CLE
Josh Lambo,7.748450583,K,4600,SDG
Dwayne Harris,7.738080813,WR,5100,NYG
BUF Defense,7.690607702,DEF,4600,BUF
Charles Clay,7.67844386,TE,5100,BUF
Chris Boswell,7.589084604,K,4700,PIT
Mike Nugent,7.567135527,K,4800,CIN
Tyler Lockett,7.556844181,WR,5600,SEA
DeAngelo Williams,7.527156584,RB,7300,PIT
DeSean Jackson,7.482668512,WR,6700,WAS
CIN Defense,7.445430138,DEF,4900,CIN
STL Defense,7.441289752,DEF,4600,STL
TEN Defense,7.389215616,DEF,4200,TEN
Jason Myers,7.301694658,K,4600,JAX
James White,7.24193212,RB,6300,NWE
Pierre Garcon,7.222960302,WR,5400,WAS
Andre Holmes,7.168702356,WR,4900,OAK
Matt Jones,7.152569399,RB,5100,WAS
Owen Daniels,6.943683107,TE,5200,DEN
IND Defense,6.757445564,DEF,4300,IND
Jerricho Cotchery,6.656288045,WR,5300,CAR
Isaiah Crowell,6.63428903,RB,5200,CLE
Alfred Blue,6.526177428,RB,5300,HOU
Robert Woods,6.490679379,WR,5100,BUF
Clay Harbor,6.463358386,TE,4500,JAX
Josh Huff,6.353532418,WR,4800,PHI
Markus Wheaton,6.295118922,WR,6100,PIT
Riley Cooper,6.28319324,WR,4900,PHI
Devin Funchess,6.1959487,WR,5800,CAR
Albert Wilson,6.173186366,WR,4800,KAN
Corey (Philly) Brown,6.17015142,WR,4700,CAR
SD Defense,6.121804068,DEF,4100,SDG
Kenny Stills,6.094819681,WR,5000,MIA
Jeremy Butler,6.09313735,WR,4700,BAL
Charles Sims,6.091211894,RB,4900,TAM
Frank Gore,6.087647795,RB,6100,IND
Torrey Smith,6.080956066,WR,6100,SFO
Keshawn Martin,6.033665008,WR,5100,NWE
Jamison Crowder,6.026345161,WR,5300,WAS
Gavin Escobar,6.014998193,TE,4500,DAL
Dorial Green-Beckham,5.961883129,WR,5100,TEN
Chris Hogan,5.960081918,WR,4800,BUF
Kenbrell Thompkins,5.936082511,WR,4600,NYJ
Zach Miller,5.874135646,TE,4900,CHI
Bishop Sankey,5.869569542,RB,4500,TEN
Coby Fleener,5.816084731,TE,4900,IND
Harry Douglas,5.721199413,WR,5400,TEN
Alfred Morris,5.670676347,RB,5500,WAS
James Hanna,5.621208803,TE,4500,DAL
Greg Olsen,5.56993078,TE,6600,CAR
Randy Bullock,5.548416806,K,4700,NYJ
Kenny Britt,5.543584409,WR,5100,STL
Josh Bellamy,5.513095704,WR,4500,CHI
Brian Parker,5.385880242,TE,4500,KAN
BAL Defense,5.302326025,DEF,4100,BAL
Cole Beasley,5.260664264,WR,5200,DAL
WAS Defense,5.248161289,DEF,4500,WAS
Roddy White,5.236848424,WR,5500,ATL
Brandon Coleman,5.044199909,WR,4600,NOR
Jordan Cameron,5.019843031,TE,5000,MIA
Blake Bell,5.015996679,TE,4500,SFO
Quinton Patton,4.9343997,WR,4500,SFO
JAC Defense,4.931682754,DEF,4300,JAX
Charcandrick West,4.927582821,RB,5800,KAN
Clive Walford,4.911498813,TE,4700,OAK
DAL Defense,4.87955983,DEF,4000,DAL
SF Defense,4.859453309,DEF,4300,SFO
PIT Defense,4.858200311,DEF,4400,PIT
Darrius Heyward-Bey,4.841461871,WR,4700,PIT
Virgil Green,4.769993636,TE,4500,DEN
Brent Celek,4.708595715,TE,5100,PHI
PHI Defense,4.693767979,DEF,4600,PHI
Chris Polk,4.631756552,RB,5200,HOU
Jonathan Grimes,4.631756552,RB,4600,HOU
Adam Vinatieri,4.54750083,K,4600,IND
Jay Ajayi,4.502492162,RB,4600,MIA
Benny Cunningham,4.470136801,RB,4500,STL
Tre Mason,4.470136801,RB,4600,STL
Russell Shepard,4.455897979,WR,4500,TAM
Andrew Franks,4.442717895,K,4500,MIA
Ryan Succop,4.42358402,K,4500,TEN
Ryan Griffin,4.414416243,TE,4900,HOU
Javorius Allen,4.413098591,RB,7000,BAL
Bryan Walters,4.394469725,WR,4900,JAX
Darren Sproles,4.386344457,RB,5100,PHI
James Casey,4.316766228,TE,4500,DEN
Miles Austin,4.14233482,WR,4500,PHI
Cody Latimer,4.135748913,WR,4800,DEN
Jake Stoneburner,4.106389393,TE,4500,MIA
Marcel Reece,4.06801469,RB,4700,OAK
Zach Ertz,4.065524126,TE,5000,PHI
Jesse James,4.033327722,TE,4600,PIT
Nelson Agholor,4.019079791,WR,4700,PHI
Marcedes Lewis,4.008492304,TE,4500,JAX
Levine Toilolo,3.9750141,TE,4500,ATL
Chris Conley,3.954323941,WR,4900,KAN
Tevin Coleman,3.94204494,RB,5100,ATL
Adam Humphries,3.910769311,WR,4800,TAM
Justin Hardy,3.86683935,WR,4500,ATL
Dwayne Allen,3.855382063,TE,4600,IND
Anthony Fasano,3.842759758,TE,4500,TEN
Tyler Kroft,3.839064798,TE,4500,CIN
C.J. Spiller,3.834032318,RB,4800,NOR
Chris Givens,3.799160277,WR,4500,BAL
Will Tye,3.775159009,TE,4900,NYG
Dion Sims,3.753415363,TE,4600,MIA
Jack Doyle,3.751955579,TE,4500,IND
Brice Butler,3.658433874,WR,4900,DAL
Denard Robinson,3.653896148,RB,4800,JAX
Craig Stevens,3.647239239,TE,4500,TEN
Robert Turbin,3.596363248,RB,4600,DAL
Phillip Supernaw,3.590804547,TE,4500,TEN
John Phillips,3.582348816,TE,4500,SDG
Quincy Enunwa,3.582059276,WR,4800,NYJ
Jared Cook,3.575561111,TE,4700,STL
Bilal Powell,3.530523698,RB,4800,NYJ
Wes Welker,3.505819522,WR,4900,STL
Greg Jennings,3.45392796,WR,4700,MIA
Ed Dickson,3.406902844,TE,4800,CAR
Fred Jackson,3.406629095,RB,4500,SEA
Orleans Darkwa,3.393301687,RB,4500,NYG
Kyle Juszczyk,3.36461589,RB,4500,BAL
Khari Lee,3.34393316,TE,4500,CHI
Shaun Draughn,3.335992117,RB,6500,SFO
Ryan Grant,3.313649804,WR,4600,WAS
Nick Williams,3.268829071,WR,4500,ATL
Jonas Gray,3.24335262,RB,4500,MIA
Jeff Cumberland,3.240738398,TE,4500,NYJ
Scott Chandler,3.232766673,TE,5800,NWE
Jerome Simpson,3.161655626,WR,4500,SFO
Kellen Davis,3.097953824,TE,4500,NYJ
Shayne Graham,3.088640312,K,4700,ATL
Andre Williams,3.080333042,RB,4500,NYG
C.J. Fiedorowicz,3.080207859,TE,4500,HOU
Mike Tolbert,3.00796966,RB,4600,CAR
Griff Whalen,2.991236959,WR,4500,IND
Devin Smith,2.966070277,WR,4900,NYJ
MIA Defense,2.956244748,DEF,4600,MIA
Donteea Dye,2.955935026,WR,4500,TAM
CLE Defense,2.932345734,DEF,4300,CLE
Chris Gragg,2.932311783,TE,4500,BUF
Luke Stocker,2.911427696,TE,4500,TAM
Keith Mumphery,2.881860659,WR,4500,HOU
Bennie Fowler,2.860338715,WR,4600,DEN
Andre Caldwell,2.860338715,WR,4500,DEN
Mychal Rivera,2.803300635,TE,4600,OAK
Javontee Herndon,2.790734741,WR,4500,SDG
Garrett Graham,2.716979429,TE,4500,HOU
Luke Willson,2.696025048,TE,4800,SEA
Devin Street,2.60545921,WR,4900,DAL
Jordan Norwood,2.604793733,WR,4500,DEN
David Cobb,2.601933721,RB,4500,TEN
Roy Helu,2.590393702,RB,4500,OAK
Jamize Olawale,2.590393702,RB,4500,OAK
Trey Burton,2.572281288,TE,4600,PHI
Terron Ward,2.550800283,RB,4500,ATL
Patrick DiMarco,2.550800283,RB,4500,ATL
Rashad Ross,2.497698445,WR,4800,WAS
Lee Smith,2.43326099,TE,4500,OAK
Henry Hynoski,2.366036255,RB,4500,NYG
Anthony Dixon,2.268887342,RB,4500,BUF
Matthew Mulligan,2.267254698,TE,4500,BUF
Storm Johnson,2.247868439,RB,4500,JAX
Michael Hoomanawanui,2.148162918,TE,4500,NOR
Trey Williams,2.109463561,RB,4500,NWE
Donald Brown,2.106950717,RB,4500,SDG
Rod Streater,2.09358583,WR,4500,OAK
Jeremy Ross,2.09358583,WR,4500,OAK
Foswhitt Whittaker,2.083400143,RB,4500,CAR
Tim Hightower,2.064669662,RB,4500,NOR
Kevin Smith,2.028125071,WR,4500,SEA
CHI Defense,2.014323765,DEF,4500,CHI
Josh Hill,2.013456422,TE,4700,NOR
Kris Durham,1.984479485,WR,4500,OAK
Trindon Holliday,1.984479485,WR,4500,OAK
Dwayne Bowe,1.898950119,WR,4500,CLE
Cameron Artis-Payne,1.81454999,RB,4500,CAR
Ka'Deem Carey,1.763676058,RB,4600,CHI
Bruce Ellington,1.761333547,WR,4500,SFO
Kenjon Barner,1.748762057,RB,4600,PHI
Damien Williams,1.713735103,RB,4600,MIA
Marqise Lee,1.673904805,WR,4600,JAX
Jason Avant,1.671771459,WR,4500,KAN
Junior Hemingway,1.562665114,WR,4500,KAN
Frankie Hammond,1.562665114,WR,4500,KAN
Chandler Worthy,1.550690407,WR,4500,HOU
Christine Michael,1.52480903,RB,4800,WAS
Seyi Ajirotutu,1.501434007,WR,4500,PHI
Marc Mariani,1.501258737,WR,4700,CHI
Chris Harper,1.484041167,WR,4500,NWE
Matthew Slater,1.484041167,WR,4500,NWE
John Conner,1.472166116,RB,4500,BUF
Bradley Marquez,1.466295255,WR,4500,STL
Brian Quick,1.463056948,WR,4500,STL
Justice Cunningham,1.445884249,TE,4500,STL
Eric Weems,1.43821741,WR,4500,ATL
Terrance West,1.339305717,RB,4600,BAL
Tyrell Williams,1.332988036,WR,4500,SDG
Jalen Saunders,1.31958251,WR,4500,CHI
Cory Harkey,1.309169802,TE,4500,STL
Kendall Gaskins,1.307553946,RB,4700,SFO
Bruce Miller,1.307553946,RB,4500,SFO
Vincent Brown,1.274686257,WR,4500,IND
Arthur Williams,1.218213369,WR,4500,NYJ
Knile Davis,1.213654684,RB,4500,KAN
Sammie Coates,1.210186917,WR,4500,PIT
Jim Dray,1.189290402,TE,4500,CLE
E.J. Bibbs,1.189290402,TE,4500,CLE
Lucky Whitehead,1.182103074,WR,4500,DAL
Marcus Easley,1.171560019,WR,4500,BUF
Erik Lorig,1.150748485,RB,4500,NOR
Marcus Murphy,1.150748485,RB,4500,NOR
Rico Richardson,1.147820823,WR,4500,TEN
Denarius Moore,1.134234658,WR,4500,BUF
Dri Archer,1.126481665,RB,4500,PIT
Jordan Todman,1.126481665,RB,4500,PIT
Isaiah Pead,1.126481665,RB,4500,PIT
Solomon Patton,1.094997653,WR,4500,DEN
Joseph Morgan,1.081133842,WR,4500,BAL
Antone Smith,1.058676996,RB,4500,CHI
Darrel Young,1.038119792,RB,4500,WAS
Bobby Rainey,1.008683944,RB,4500,TAM
Rod Smith,0.991270384,RB,4500,DAL
Tommy Bohanon,0.801919254,RB,4500,NYJ
Geremy Davis,0.797897776,WR,4500,NYG
Kevin Ogletree,0.797897776,WR,4500,NYG
Hakeem Nicks,0.797897776,WR,4500,NYG
Derrick Coleman,0.770824945,RB,4500,SEA
Rex Burkhead,0.760969599,RB,4500,CIN
Jeremy Stewart,0.71092226,RB,4500,DEN
Juwan Thompson,0.71092226,RB,4600,DEN
Brandon Tate,0.669574255,WR,4700,CIN
Travaris Cadet,0.663272721,RB,4500,SFO
Raheem Mostert,0.634306655,RB,4500,BAL
Greg Little,0.632248894,WR,4500,CIN
Dan Herron,0.532227129,RB,4500,IND
Stevan Ridley,0.513241858,RB,4500,NYJ
Ace Sanders,0.14369199,WR,4500,JAX
